api,answers,assets,audit,chunks,conversations,departments,documents,drafts,events,idempotency,memberships,ocr_runs,organizations,outbox,submissions,users,versions
ask_question,CR,R,C,R,CR,R,R,,CR,CR,R,R,RU,,,R,R
change_membership,,,C,,,R,,,,,CRU,,RU,,,R,
change_policy,,,C,,,R,RU,,,,R,,RU,C,,R,
chat_history,R,R,,R,R,R,R,,,,R,R,R,,,R,R
correct_ocr,,R,C,,,R,R,,,,R,C,RU,,,R,
create_document,,,C,,,R,C,C,,,R,,RU,,,R,
decide_review,,,C,,,R,RU,,,CR,R,,RU,C,RU,R,R
department_metrics,,,,,,R,R,,R,,R,,R,,,R,
get_draft,,,,,,R,R,R,,,R,,R,,,R,
get_identity,,,,,,R,,,,,R,,R,,,R,
get_image,,R,,,,R,R,,,,R,,R,,,R,R
get_ocr,,R,,,,R,R,,,,R,R,R,,,R,R
health,,,,,,,,,,,,,,,,,
list_documents,,,,R,,R,R,,,,R,,R,,R,R,R
list_jobs,,,,,,R,R,,,,R,,R,R,,R,R
list_members,,,,,,R,,,,,R,,R,,,R,
list_reviews,,,,,,R,R,,,,R,,R,,R,R,R
read_document,,,,R,,R,R,,,,R,,R,,,R,R
reconcile_index,,,,R,,R,R,,,,R,,R,,,R,
record_view,,,,,,R,R,,CR,,R,,RU,,,R,
retry_job,R,RD,,CRUD,,R,R,RD,,,R,RD,RU,RU,,R,R
save_draft,,R,,,,R,RU,RU,,,R,R,RU,,,R,
submit_version,,R,C,,,R,RU,R,,CR,R,R,RU,,C,R,C
upload_image,,CR,,,,R,R,,,,R,C,RU,,,R,
version_diff,,,,,,R,R,,,,R,,R,,,R,R
version_history,,,,,,R,R,,,,R,,R,,R,R,R
